Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (280) ,689,-25.0000,50.0000,0.0000,-24.8375,49.6384,-0.0442,0.3989,0.1625,-0.3616,-0.0442,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (280) ,11125,-25.0000,48.6027,0.0000,-24.8370,48.2491,-0.0428,0.3917,0.1630,-0.3537,-0.0428,1.3973,0.0000,-1.3973,0.0000,1.3893,0.0005,-1.3893,0.0014,0.0080,0.5713,
3,20240207-MicroHoles_study_1 (0.264) (280) ,11122,-25.0000,47.2088,0.0000,-24.8327,46.8618,-0.0406,0.3873,0.1673,-0.3470,-0.0406,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (280) ,11128,-25.0000,45.8149,0.0000,-24.8269,45.4771,-0.0361,0.3813,0.1731,-0.3378,-0.0361,1.3939,0.0000,-1.3939,0.0000,1.3847,0.0059,-1.3847,0.0045,0.0092,0.6600,
5,20240207-MicroHoles_study_1 (0.264) (280) ,11119,-25.0000,44.4187,0.0000,-24.8239,44.0941,-0.0326,0.3707,0.1761,-0.3246,-0.0326,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (280) ,11134,-25.0000,43.0246,0.0000,-24.8253,42.7122,-0.0295,0.3591,0.1747,-0.3124,-0.0295,1.3942,0.0000,-1.3942,0.0000,1.3819,-0.0014,-1.3819,0.0031,0.0122,0.8765,
7,20240207-MicroHoles_study_1 (0.264) (280) ,11131,-25.0000,42.1197,0.0000,-24.8252,41.8132,-0.0286,0.3540,0.1748,-0.3065,-0.0286,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (280) ,11137,-25.0000,40.2435,0.0000,-24.8230,39.9502,-0.0242,0.3435,0.1770,-0.2933,-0.0242,1.8762,0.0000,-1.8762,0.0000,1.8630,0.0023,-1.8630,0.0044,0.0132,0.7026,
9,20240207-MicroHoles_study_1 (0.264) (280) ,11140,-25.0000,38.8554,0.0000,-24.8218,38.5744,-0.0212,0.3334,0.1782,-0.2810,-0.0212,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (280) ,11116,-25.0000,37.4661,0.0000,-24.8230,37.1961,-0.0200,0.3234,0.1770,-0.2699,-0.0200,1.3893,0.0000,-1.3893,0.0000,1.3783,-0.0012,-1.3783,0.0012,0.0110,0.7920,
