Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (280) ,686,25.0000,50.0000,0.0000,24.8250,49.6749,0.0142,0.3695,-0.1750,-0.3251,0.0142,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (280) ,10668,25.0000,48.6173,0.0000,24.8241,48.3008,0.0149,0.3624,-0.1759,-0.3165,0.0149,1.3827,0.0000,-1.3827,0.0000,1.3741,-0.0010,-1.3741,0.0007,0.0086,0.6213,
3,20240207-MicroHoles_study_1 (0.264) (280) ,10665,25.0000,47.2346,0.0000,24.8233,46.9262,0.0158,0.3557,-0.1767,-0.3083,0.0158,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (280) ,10659,25.0000,45.8547,0.0000,24.8217,45.5553,0.0176,0.3489,-0.1783,-0.2993,0.0176,1.3799,0.0000,-1.3799,0.0000,1.3709,-0.0016,-1.3709,0.0018,0.0090,0.6505,
5,20240207-MicroHoles_study_1 (0.264) (280) ,10662,25.0000,44.4693,0.0000,24.8214,44.1799,0.0179,0.3404,-0.1786,-0.2893,0.0179,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (280) ,10647,25.0000,43.0838,0.0000,24.8229,42.8039,0.0187,0.3318,-0.1771,-0.2799,0.0187,1.3854,0.0000,-1.3854,0.0000,1.3760,0.0014,-1.3760,0.0008,0.0094,0.6788,
7,20240207-MicroHoles_study_1 (0.264) (280) ,10656,25.0000,41.6962,0.0000,24.8234,41.4246,0.0179,0.3244,-0.1766,-0.2716,0.0179,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (280) ,10650,25.0000,40.3094,0.0000,24.8238,40.0467,0.0197,0.3169,-0.1762,-0.2627,0.0197,1.3868,0.0000,-1.3868,0.0000,1.3779,0.0004,-1.3779,0.0018,0.0089,0.6429,
9,20240207-MicroHoles_study_1 (0.264) (280) ,10653,25.0000,38.9230,0.0000,24.8246,38.6704,0.0203,0.3082,-0.1754,-0.2526,0.0203,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (280) ,10620,25.0000,37.5366,0.0000,24.8260,37.2929,0.0208,0.3001,-0.1740,-0.2437,0.0208,1.3864,0.0000,-1.3864,0.0000,1.3775,0.0014,-1.3775,0.0005,0.0089,0.6430,
11,20240207-MicroHoles_study_1 (0.264) (280) ,10644,25.0000,36.1492,0.0000,24.8268,35.9139,0.0203,0.2929,-0.1732,-0.2354,0.0203,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (280) ,10641,25.0000,34.7619,0.0000,24.8279,34.5361,0.0220,0.2848,-0.1721,-0.2258,0.0220,1.3873,0.0000,-1.3873,0.0000,1.3778,0.0011,-1.3778,0.0017,0.0095,0.6878,
13,20240207-MicroHoles_study_1 (0.264) (280) ,10635,25.0000,33.3730,0.0000,24.8290,33.1564,0.0224,0.2769,-0.1710,-0.2166,0.0224,,,,,,,,,,,
