Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (280) ,690,-25.0000,50.0000,2.5000,-24.8415,49.6430,2.4384,0.3954,0.1585,-0.3570,-0.0616,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (280) ,11343,-25.0000,48.6027,2.5000,-24.8391,48.2535,2.4427,0.3888,0.1609,-0.3492,-0.0573,1.3973,0.0000,-1.3973,0.0000,1.3895,0.0024,-1.3895,0.0043,0.0078,0.5571,
3,20240207-MicroHoles_study_1 (0.264) (280) ,11340,-25.0000,47.2088,2.5000,-24.8338,46.8667,2.4465,0.3841,0.1662,-0.3421,-0.0535,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (280) ,11346,-25.0000,45.8149,2.5000,-24.8282,45.4826,2.4483,0.3776,0.1718,-0.3323,-0.0517,1.3939,0.0000,-1.3939,0.0000,1.3842,0.0055,-1.3841,0.0019,0.0098,0.7011,
5,20240207-MicroHoles_study_1 (0.264) (280) ,11337,-25.0000,44.4187,2.5000,-24.8261,44.0992,2.4502,0.3672,0.1739,-0.3195,-0.0498,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (280) ,11352,-25.0000,43.0246,2.5000,-24.8261,42.7176,2.4543,0.3558,0.1739,-0.3070,-0.0457,1.3942,0.0000,-1.3942,0.0000,1.3816,0.0000,-1.3816,0.0040,0.0125,0.8991,
7,20240207-MicroHoles_study_1 (0.264) (280) ,11349,-25.0000,42.1197,2.5000,-24.8263,41.8179,2.4571,0.3508,0.1737,-0.3018,-0.0429,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (280) ,11355,-25.0000,40.2435,2.5000,-24.8236,39.9548,2.4598,0.3407,0.1764,-0.2887,-0.0402,1.8762,0.0000,-1.8762,0.0000,1.8631,0.0027,-1.8631,0.0028,0.0131,0.6960,
9,20240207-MicroHoles_study_1 (0.264) (280) ,11358,-25.0000,38.8554,2.5000,-24.8226,38.5790,2.4616,0.3306,0.1774,-0.2764,-0.0384,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (280) ,11334,-25.0000,37.4661,2.5000,-24.8239,37.2006,2.4655,0.3205,0.1761,-0.2655,-0.0345,1.3893,0.0000,-1.3893,0.0000,1.3785,-0.0012,-1.3785,0.0039,0.0109,0.7817,
11,20240207-MicroHoles_study_1 (0.264) (280) ,11367,-25.0000,36.0764,2.5000,-24.8236,35.8196,2.4683,0.3132,0.1764,-0.2569,-0.0317,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (280) ,11364,-25.0000,34.6868,2.5000,-24.8218,34.4400,2.4699,0.3059,0.1782,-0.2468,-0.0301,1.3896,0.0000,-1.3896,0.0000,1.3796,0.0018,-1.3796,0.0016,0.0100,0.7221,
13,20240207-MicroHoles_study_1 (0.264) (280) ,11370,-25.0000,33.2968,2.5000,-24.8220,33.0607,2.4720,0.2970,0.1780,-0.2361,-0.0280,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (280) ,11361,-25.0000,31.7197,2.5000,-24.8240,31.4947,2.4744,0.2868,0.1760,-0.2250,-0.0256,1.5771,0.0000,-1.5771,0.0000,1.5661,-0.0020,-1.5661,0.0024,0.0111,0.7017,
15,20240207-MicroHoles_study_1 (0.264) (280) ,11376,-25.0000,30.5141,2.5000,-24.8241,30.2968,2.4759,0.2806,0.1759,-0.2173,-0.0241,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (280) ,11373,-25.0000,29.1247,2.5000,-24.8231,28.9181,2.4776,0.2729,0.1769,-0.2066,-0.0224,1.3895,0.0000,-1.3895,0.0000,1.3787,0.0010,-1.3787,0.0017,0.0107,0.7727,
17,20240207-MicroHoles_study_1 (0.264) (280) ,11379,-25.0000,27.7381,2.5000,-24.8238,27.5424,2.4799,0.2641,0.1762,-0.1957,-0.0201,,,,,,,,,,,
18,20240207-MicroHoles_study_1 (0.264) (280) ,11382,-25.0000,26.3484,2.5000,-24.8260,26.1619,2.4812,0.2558,0.1740,-0.1865,-0.0188,1.3897,0.0000,-1.3897,0.0000,1.3804,-0.0021,-1.3804,0.0012,0.0092,0.6649,
19,20240207-MicroHoles_study_1 (0.264) (280) ,11331,-25.0000,24.9621,2.5000,-24.8262,24.7855,2.4829,0.2484,0.1738,-0.1767,-0.0171,,,,,,,,,,,
20,20240207-MicroHoles_study_1 (0.264) (280) ,11394,-25.0000,23.5750,2.5000,-24.8264,23.4084,2.4845,0.2412,0.1736,-0.1666,-0.0155,1.3871,0.0000,-1.3871,0.0000,1.3771,-0.0002,-1.3771,0.0016,0.0100,0.7234,
21,20240207-MicroHoles_study_1 (0.264) (280) ,11391,-25.0000,22.1879,2.5000,-24.8256,22.0312,2.4865,0.2349,0.1744,-0.1567,-0.0135,,,,,,,,,,,
22,20240207-MicroHoles_study_1 (0.264) (280) ,11397,-25.0000,20.7974,2.5000,-24.8260,20.6501,2.4870,0.2284,0.1740,-0.1473,-0.0130,1.3904,0.0000,-1.3904,0.0000,1.3811,-0.0004,-1.3811,0.0005,0.0094,0.6743,
