Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (280) ,687,25.0000,50.0000,2.5000,24.8222,49.6763,2.4990,0.3693,-0.1778,-0.3237,-0.0010,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (280) ,10886,25.0000,48.6173,2.5000,24.8213,48.3025,2.5003,0.3620,-0.1787,-0.3148,0.0003,1.3827,0.0000,-1.3827,0.0000,1.3739,-0.0009,-1.3739,0.0013,0.0089,0.6404,
3,20240207-MicroHoles_study_1 (0.264) (280) ,10883,25.0000,47.2346,2.5000,24.8207,46.9275,2.5011,0.3556,-0.1793,-0.3071,0.0011,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (280) ,10877,25.0000,45.8547,2.5000,24.8202,45.5564,2.5004,0.3483,-0.1798,-0.2983,0.0004,1.3799,0.0000,-1.3799,0.0000,1.3711,-0.0005,-1.3711,-0.0007,0.0088,0.6350,
5,20240207-MicroHoles_study_1 (0.264) (280) ,10880,25.0000,44.4693,2.5000,24.8200,44.1809,2.5007,0.3399,-0.1800,-0.2883,0.0007,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (280) ,10865,25.0000,43.0838,2.5000,24.8215,42.8052,2.5015,0.3309,-0.1785,-0.2786,0.0015,1.3854,0.0000,-1.3854,0.0000,1.3757,0.0015,-1.3757,0.0008,0.0097,0.7003,
7,20240207-MicroHoles_study_1 (0.264) (280) ,10874,25.0000,41.6962,2.5000,24.8220,41.4260,2.5032,0.3236,-0.1780,-0.2702,0.0032,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (280) ,10868,25.0000,40.3094,2.5000,24.8222,40.0480,2.5025,0.3161,-0.1778,-0.2614,0.0025,1.3868,0.0000,-1.3868,0.0000,1.3780,0.0002,-1.3780,-0.0007,0.0088,0.6365,
9,20240207-MicroHoles_study_1 (0.264) (280) ,10871,25.0000,38.9230,2.5000,24.8230,38.6714,2.5031,0.3076,-0.1770,-0.2516,0.0031,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (280) ,10838,25.0000,37.5366,2.5000,24.8250,37.2938,2.5036,0.2993,-0.1750,-0.2428,0.0036,1.3864,0.0000,-1.3864,0.0000,1.3776,0.0019,-1.3776,0.0005,0.0088,0.6381,
