Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (280) ,690,-25.0000,50.0000,2.5000,-24.8415,49.6430,2.4384,0.3954,0.1585,-0.3570,-0.0616,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (280) ,11106,-23.6175,50.0000,2.5000,-23.4661,49.6448,2.4411,0.3906,0.1513,-0.3552,-0.0589,1.3825,1.3825,0.0000,0.0000,1.3753,1.3753,0.0018,0.0028,0.0072,0.5206,
3,20240207-MicroHoles_study_1 (0.264) (280) ,11103,-22.2346,50.0000,2.5000,-22.0907,49.6425,2.4432,0.3895,0.1438,-0.3575,-0.0568,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (280) ,11097,-20.8518,50.0000,2.5000,-20.7174,49.6400,2.4453,0.3881,0.1344,-0.3600,-0.0547,1.3828,1.3828,0.0000,0.0000,1.3733,1.3733,-0.0025,0.0021,0.0094,0.6830,
5,20240207-MicroHoles_study_1 (0.264) (280) ,11100,-19.4691,50.0000,2.5000,-19.3447,49.6391,2.4476,0.3854,0.1244,-0.3609,-0.0524,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (280) ,11085,-18.0848,50.0000,2.5000,-17.9712,49.6402,2.4502,0.3806,0.1136,-0.3598,-0.0498,1.3843,1.3843,0.0000,0.0000,1.3735,1.3735,0.0011,0.0026,0.0108,0.7766,
7,20240207-MicroHoles_study_1 (0.264) (280) ,11094,-16.6967,50.0000,2.5000,-16.5917,49.6406,2.4527,0.3774,0.1050,-0.3594,-0.0473,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (280) ,11088,-15.3086,50.0000,2.5000,-15.2134,49.6403,2.4548,0.3748,0.0951,-0.3597,-0.0452,1.3881,1.3881,0.0000,0.0000,1.3783,1.3783,-0.0004,0.0021,0.0098,0.7085,
9,20240207-MicroHoles_study_1 (0.264) (280) ,11091,-13.9232,50.0000,2.5000,-13.8379,49.6398,2.4572,0.3726,0.0854,-0.3602,-0.0428,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (280) ,11058,-12.5379,50.0000,2.5000,-12.4639,49.6411,2.4599,0.3687,0.0740,-0.3589,-0.0401,1.3854,1.3854,0.0000,0.0000,1.3740,1.3740,0.0012,0.0026,0.0114,0.8194,
11,20240207-MicroHoles_study_1 (0.264) (280) ,11082,-11.1499,50.0000,2.5000,-11.0852,49.6427,2.4623,0.3650,0.0646,-0.3573,-0.0377,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (280) ,11079,-9.7619,50.0000,2.5000,-9.7069,49.6437,2.4643,0.3623,0.0550,-0.3563,-0.0357,1.3880,1.3880,0.0000,0.0000,1.3783,1.3783,0.0009,0.0020,0.0097,0.6974,
13,20240207-MicroHoles_study_1 (0.264) (280) ,11073,-8.3739,50.0000,2.5000,-8.3284,49.6438,2.4664,0.3606,0.0455,-0.3562,-0.0336,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (280) ,11076,-6.9859,50.0000,2.5000,-6.9506,49.6447,2.4685,0.3584,0.0353,-0.3553,-0.0315,1.3880,1.3880,0.0000,0.0000,1.3778,1.3778,0.0008,0.0021,0.0102,0.7344,
15,20240207-MicroHoles_study_1 (0.264) (280) ,11061,-5.5952,50.0000,2.5000,-5.5685,49.6454,2.4692,0.3570,0.0267,-0.3546,-0.0308,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (280) ,11070,-4.2026,50.0000,2.5000,-4.1854,49.6439,2.4694,0.3578,0.0172,-0.3561,-0.0306,1.3926,1.3926,0.0000,0.0000,1.3831,1.3831,-0.0014,0.0003,0.0096,0.6859,
17,20240207-MicroHoles_study_1 (0.264) (280) ,11064,-2.8121,50.0000,2.5000,-2.8074,49.6424,2.4703,0.3588,0.0047,-0.3576,-0.0297,,,,,,,,,,,
18,20240207-MicroHoles_study_1 (0.264) (280) ,11067,-1.4252,50.0000,2.5000,-1.4319,49.6439,2.4721,0.3573,-0.0067,-0.3561,-0.0279,1.3869,1.3869,0.0000,0.0000,1.3755,1.3755,0.0014,0.0017,0.0114,0.8245,
19,20240207-MicroHoles_study_1 (0.264) (280) ,11004,-0.0383,50.0000,2.5000,-0.0548,49.6463,2.4756,0.3550,-0.0166,-0.3537,-0.0244,,,,,,,,,,,
20,20240207-MicroHoles_study_1 (0.264) (280) ,11055,1.3499,50.0000,2.5000,1.3246,49.6474,2.4756,0.3543,-0.0253,-0.3526,-0.0244,1.3882,1.3882,0.0000,0.0000,1.3794,1.3794,0.0012,0.0000,0.0088,0.6331,
21,20240207-MicroHoles_study_1 (0.264) (280) ,11052,2.7373,50.0000,2.5000,2.7002,49.6475,2.4771,0.3551,-0.0371,-0.3525,-0.0229,,,,,,,,,,,
22,20240207-MicroHoles_study_1 (0.264) (280) ,11046,4.1247,50.0000,2.5000,4.0760,49.6497,2.4802,0.3542,-0.0486,-0.3503,-0.0198,1.3874,1.3874,0.0000,0.0000,1.3758,1.3758,0.0022,0.0031,0.0115,0.8309,
23,20240207-MicroHoles_study_1 (0.264) (280) ,11049,5.5141,50.0000,2.5000,5.4564,49.6527,2.4833,0.3524,-0.0577,-0.3473,-0.0167,,,,,,,,,,,
24,20240207-MicroHoles_study_1 (0.264) (280) ,11034,6.9058,50.0000,2.5000,6.8404,49.6562,2.4846,0.3503,-0.0653,-0.3438,-0.0154,1.3917,1.3917,0.0000,0.0000,1.3840,1.3840,0.0035,0.0013,0.0076,0.5495,
25,20240207-MicroHoles_study_1 (0.264) (280) ,11043,8.2963,50.0000,2.5000,8.2217,49.6581,2.4860,0.3502,-0.0746,-0.3419,-0.0140,,,,,,,,,,,
26,20240207-MicroHoles_study_1 (0.264) (280) ,11037,9.6868,50.0000,2.5000,9.6032,49.6600,2.4873,0.3503,-0.0836,-0.3400,-0.0127,1.3905,1.3905,0.0000,0.0000,1.3815,1.3815,0.0019,0.0013,0.0090,0.6455,
27,20240207-MicroHoles_study_1 (0.264) (280) ,11040,11.0762,50.0000,2.5000,10.9834,49.6618,2.4885,0.3509,-0.0928,-0.3382,-0.0115,,,,,,,,,,,
28,20240207-MicroHoles_study_1 (0.264) (280) ,11007,12.4656,50.0000,2.5000,12.3649,49.6637,2.4900,0.3512,-0.1008,-0.3363,-0.0100,1.3894,1.3894,0.0000,0.0000,1.3815,1.3815,0.0019,0.0015,0.0079,0.5688,
29,20240207-MicroHoles_study_1 (0.264) (280) ,11031,13.8544,50.0000,2.5000,13.7447,49.6646,2.4911,0.3530,-0.1097,-0.3354,-0.0089,,,,,,,,,,,
30,20240207-MicroHoles_study_1 (0.264) (280) ,11028,15.2431,50.0000,2.5000,15.1242,49.6664,2.4924,0.3543,-0.1189,-0.3336,-0.0076,1.3888,1.3888,0.0000,0.0000,1.3795,1.3795,0.0018,0.0013,0.0093,0.6663,
31,20240207-MicroHoles_study_1 (0.264) (280) ,11022,16.6316,50.0000,2.5000,16.5042,49.6679,2.4930,0.3558,-0.1275,-0.3321,-0.0070,,,,,,,,,,,
32,20240207-MicroHoles_study_1 (0.264) (280) ,11025,18.0246,50.0000,2.5000,17.8890,49.6700,2.4941,0.3568,-0.1356,-0.3300,-0.0059,1.3929,1.3929,0.0000,0.0000,1.3848,1.3848,0.0022,0.0011,0.0081,0.5815,
33,20240207-MicroHoles_study_1 (0.264) (280) ,11010,19.4197,50.0000,2.5000,19.2756,49.6711,2.4955,0.3591,-0.1441,-0.3289,-0.0045,,,,,,,,,,,
34,20240207-MicroHoles_study_1 (0.264) (280) ,11019,20.8143,50.0000,2.5000,20.6607,49.6729,2.4964,0.3613,-0.1535,-0.3271,-0.0036,1.3945,1.3945,0.0000,0.0000,1.3852,1.3851,0.0019,0.0009,0.0094,0.6731,
35,20240207-MicroHoles_study_1 (0.264) (280) ,11013,22.2088,50.0000,2.5000,22.0469,49.6761,2.4966,0.3621,-0.1619,-0.3239,-0.0034,,,,,,,,,,,
36,20240207-MicroHoles_study_1 (0.264) (280) ,11016,23.6027,50.0000,2.5000,23.4333,49.6772,2.4978,0.3646,-0.1695,-0.3228,-0.0022,1.3939,1.3939,0.0000,0.0000,1.3863,1.3863,0.0011,0.0011,0.0076,0.5441,
37,20240207-MicroHoles_study_1 (0.264) (280) ,687,25.0000,50.0000,2.5000,24.8222,49.6763,2.4990,0.3693,-0.1778,-0.3237,-0.0010,,,,,,,,,,,
