Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study,691,-25.0000,-50.0000,0.0000,-24.8341,-49.6407,0.0066,0.3958,0.1659,0.3593,0.0066,,,,,,,,,,,
2,20240207-MicroHoles_study,11320,-25.0000,-48.6175,0.0000,-24.8362,-48.2661,0.0081,0.3877,0.1638,0.3513,0.0081,1.3825,0.0000,1.3825,0.0000,1.3746,-0.0020,1.3746,0.0015,0.0080,0.5762,
3,20240207-MicroHoles_study,11317,-25.0000,-47.2346,0.0000,-24.8360,-46.8909,0.0102,0.3809,0.1640,0.3437,0.0102,,,,,,,,,,,
4,20240207-MicroHoles_study,11311,-25.0000,-45.8518,0.0000,-24.8331,-45.5162,0.0121,0.3750,0.1669,0.3356,0.0121,1.3828,0.0000,1.3828,0.0000,1.3747,0.0029,1.3747,0.0019,0.0080,0.5818,
5,20240207-MicroHoles_study,11314,-25.0000,-44.4683,0.0000,-24.8323,-44.1439,0.0159,0.3655,0.1677,0.3244,0.0159,,,,,,,,,,,
6,20240207-MicroHoles_study,11299,-25.0000,-43.0848,0.0000,-24.8328,-42.7718,0.0176,0.3553,0.1672,0.3130,0.0176,1.3835,0.0000,1.3835,0.0000,1.3720,-0.0005,1.3720,0.0017,0.0115,0.8291,
7,20240207-MicroHoles_study,11308,-25.0000,-41.6967,0.0000,-24.8319,-41.3919,0.0174,0.3486,0.1681,0.3049,0.0174,,,,,,,,,,,
8,20240207-MicroHoles_study,11302,-25.0000,-40.3086,0.0000,-24.8296,-40.0136,0.0204,0.3413,0.1704,0.2951,0.0204,1.3881,0.0000,1.3881,0.0000,1.3783,0.0023,1.3783,0.0031,0.0098,0.7068,
9,20240207-MicroHoles_study,11305,-25.0000,-38.9233,0.0000,-24.8282,-38.6392,0.0221,0.3327,0.1718,0.2840,0.0221,,,,,,,,,,,
10,20240207-MicroHoles_study,11272,-25.0000,-37.5379,0.0000,-24.8294,-37.2655,0.0232,0.3222,0.1706,0.2724,0.0232,1.3854,0.0000,1.3854,0.0000,1.3737,-0.0013,1.3737,0.0011,0.0117,0.8422,
