Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study,685,25.0000,-50.0000,0.0000,24.8136,-49.6762,-0.0464,0.3765,-0.1864,0.3238,-0.0464,,,,,,,,,,,
2,20240207-MicroHoles_study,10473,25.0000,-48.6048,0.0000,24.8155,-48.2893,-0.0451,0.3683,-0.1845,0.3155,-0.0451,1.3952,0.0000,1.3952,0.0000,1.3869,0.0019,1.3869,0.0013,0.0083,0.5971,
3,20240207-MicroHoles_study,10470,25.0000,-47.2096,0.0000,24.8170,-46.9022,-0.0425,0.3602,-0.1830,0.3074,-0.0425,,,,,,,,,,,
4,20240207-MicroHoles_study,10476,25.0000,-45.8149,0.0000,24.8181,-45.5157,-0.0399,0.3524,-0.1819,0.2991,-0.0399,1.3948,0.0000,1.3948,0.0000,1.3865,0.0010,1.3865,0.0026,0.0082,0.5914,
5,20240207-MicroHoles_study,10467,25.0000,-44.4197,0.0000,24.8186,-44.1297,-0.0363,0.3440,-0.1814,0.2900,-0.0363,,,,,,,,,,,
6,20240207-MicroHoles_study,10482,25.0000,-43.0246,0.0000,24.8205,-42.7438,-0.0338,0.3349,-0.1795,0.2807,-0.0338,1.3951,0.0000,1.3951,0.0000,1.3859,0.0019,1.3859,0.0025,0.0092,0.6630,
7,20240207-MicroHoles_study,10479,25.0000,-41.6348,0.0000,24.8217,-41.3627,-0.0330,0.3270,-0.1783,0.2722,-0.0330,,,,,,,,,,,
8,20240207-MicroHoles_study,10485,25.0000,-40.2454,0.0000,24.8228,-39.9815,-0.0292,0.3192,-0.1772,0.2639,-0.0292,1.3894,0.0000,1.3894,0.0000,1.3812,0.0011,1.3812,0.0038,0.0082,0.5935,
9,20240207-MicroHoles_study,10488,25.0000,-38.8560,0.0000,24.8236,-38.6016,-0.0268,0.3107,-0.1764,0.2544,-0.0268,,,,,,,,,,,
10,20240207-MicroHoles_study,10464,25.0000,-37.4669,0.0000,24.8255,-37.2219,-0.0248,0.3018,-0.1745,0.2450,-0.0248,1.3891,0.0000,1.3891,0.0000,1.3797,0.0019,1.3797,0.0020,0.0094,0.6755,
11,20240207-MicroHoles_study,10497,25.0000,-36.0785,0.0000,24.8265,-35.8416,-0.0239,0.2946,-0.1735,0.2369,-0.0239,,,,,,,,,,,
12,20240207-MicroHoles_study,10494,25.0000,-34.6874,0.0000,24.8277,-34.4591,-0.0202,0.2868,-0.1723,0.2283,-0.0202,1.3910,0.0000,1.3910,0.0000,1.3825,0.0012,1.3825,0.0037,0.0085,0.6142,
13,20240207-MicroHoles_study,10500,25.0000,-33.2964,0.0000,24.8289,-33.0773,-0.0179,0.2786,-0.1711,0.2191,-0.0179,,,,,,,,,,,
14,20240207-MicroHoles_study,10491,25.0000,-31.9048,0.0000,24.8297,-31.6945,-0.0175,0.2711,-0.1703,0.2103,-0.0175,1.3916,0.0000,1.3916,0.0000,1.3827,0.0008,1.3827,0.0005,0.0089,0.6370,
15,20240207-MicroHoles_study,10506,25.0000,-30.5158,0.0000,24.8304,-30.3136,-0.0157,0.2644,-0.1696,0.2022,-0.0157,,,,,,,,,,,
