Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study,692,-25.0000,-50.0000,2.5000,-24.8333,-49.6452,2.4904,0.3922,0.1667,0.3548,-0.0096,,,,,,,,,,,
2,20240207-MicroHoles_study,11660,-23.6027,-50.0000,2.5000,-23.4446,-49.6430,2.4899,0.3906,0.1582,0.3570,-0.0101,1.3973,1.3973,0.0000,0.0000,1.3888,1.3888,0.0021,-0.0005,0.0085,0.6084,
3,20240207-MicroHoles_study,11657,-22.2088,-50.0000,2.5000,-22.0590,-49.6397,2.4901,0.3904,0.1498,0.3603,-0.0099,,,,,,,,,,,
4,20240207-MicroHoles_study,11663,-20.8149,-50.0000,2.5000,-20.6743,-49.6360,2.4887,0.3904,0.1406,0.3640,-0.0113,1.3939,1.3939,0.0000,0.0000,1.3847,1.3847,0.0037,-0.0014,0.0092,0.6618,
5,20240207-MicroHoles_study,11654,-19.4203,-50.0000,2.5000,-19.2916,-49.6323,2.4873,0.3898,0.1286,0.3677,-0.0127,,,,,,,,,,,
6,20240207-MicroHoles_study,11669,-18.0260,-50.0000,2.5000,-17.9093,-49.6320,2.4864,0.3863,0.1167,0.3680,-0.0136,1.3943,1.3943,0.0000,0.0000,1.3824,1.3824,0.0003,-0.0009,0.0120,0.8575,
7,20240207-MicroHoles_study,11666,-16.6316,-50.0000,2.5000,-16.5249,-49.6327,2.4863,0.3828,0.1068,0.3673,-0.0137,,,,,,,,,,,
8,20240207-MicroHoles_study,11672,-15.2451,-50.0000,2.5000,-15.1475,-49.6316,2.4848,0.3814,0.0976,0.3684,-0.0152,1.3866,1.3866,0.0000,0.0000,1.3774,1.3774,0.0011,-0.0015,0.0092,0.6632,
9,20240207-MicroHoles_study,11675,-13.8554,-50.0000,2.5000,-13.7693,-49.6310,2.4835,0.3793,0.0860,0.3690,-0.0165,,,,,,,,,,,
10,20240207-MicroHoles_study,11651,-12.4656,-50.0000,2.5000,-12.3909,-49.6334,2.4821,0.3745,0.0747,0.3666,-0.0179,1.3898,1.3898,0.0000,0.0000,1.3785,1.3785,-0.0024,-0.0014,0.0113,0.8153,
11,20240207-MicroHoles_study,11684,-11.0768,-50.0000,2.5000,-11.0117,-49.6349,2.4814,0.3714,0.0651,0.3651,-0.0186,,,,,,,,,,,
