Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study,692,-25.0000,-50.0000,2.5000,-24.8333,-49.6452,2.4904,0.3922,0.1667,0.3548,-0.0096,,,,,,,,,,,
2,20240207-MicroHoles_study,11538,-25.0000,-48.6175,2.5000,-24.8356,-48.2706,2.4937,0.3839,0.1644,0.3468,-0.0063,1.3825,0.0000,1.3825,0.0000,1.3745,-0.0022,1.3745,0.0033,0.0080,0.5800,
3,20240207-MicroHoles_study,11535,-25.0000,-47.2346,2.5000,-24.8354,-46.8948,2.4961,0.3775,0.1646,0.3397,-0.0039,,,,,,,,,,,
4,20240207-MicroHoles_study,11529,-25.0000,-45.8518,2.5000,-24.8325,-45.5200,2.4983,0.3717,0.1675,0.3318,-0.0017,1.3828,0.0000,1.3828,0.0000,1.3749,0.0028,1.3749,0.0022,0.0079,0.5699,
5,20240207-MicroHoles_study,11532,-25.0000,-44.4683,2.5000,-24.8305,-44.1469,2.4986,0.3634,0.1695,0.3214,-0.0014,,,,,,,,,,,
6,20240207-MicroHoles_study,11517,-25.0000,-43.0848,2.5000,-24.8306,-42.7747,2.5003,0.3534,0.1694,0.3101,0.0003,1.3835,0.0000,1.3835,0.0000,1.3722,-0.0001,1.3722,0.0017,0.0113,0.8145,
7,20240207-MicroHoles_study,11526,-25.0000,-41.6967,2.5000,-24.8302,-41.3948,2.5039,0.3464,0.1698,0.3019,0.0039,,,,,,,,,,,
8,20240207-MicroHoles_study,11520,-25.0000,-40.3086,2.5000,-24.8278,-40.0161,2.5032,0.3394,0.1722,0.2925,0.0032,1.3881,0.0000,1.3881,0.0000,1.3787,0.0024,1.3787,-0.0007,0.0094,0.6753,
9,20240207-MicroHoles_study,11523,-25.0000,-38.9233,2.5000,-24.8255,-38.6413,2.5048,0.3316,0.1745,0.2819,0.0048,,,,,,,,,,,
10,20240207-MicroHoles_study,11490,-25.0000,-37.5379,2.5000,-24.8262,-37.2673,2.5059,0.3216,0.1738,0.2705,0.0059,1.3854,0.0000,1.3854,0.0000,1.3740,-0.0007,1.3740,0.0011,0.0114,0.8229,
11,20240207-MicroHoles_study,11514,-25.0000,-36.5293,2.5000,-24.8263,-36.2652,2.5087,0.3161,0.1737,0.2640,0.0087,,,,,,,,,,,
12,20240207-MicroHoles_study,11511,-25.0000,-34.7634,2.5000,-24.8257,-34.5114,2.5094,0.3066,0.1743,0.2520,0.0094,1.7658,0.0000,1.7658,0.0000,1.7538,0.0007,1.7538,0.0007,0.0120,0.6793,
13,20240207-MicroHoles_study,11505,-25.0000,-33.3753,2.5000,-24.8254,-33.1345,2.5084,0.2976,0.1746,0.2408,0.0084,,,,,,,,,,,
14,20240207-MicroHoles_study,11508,-25.0000,-31.9848,2.5000,-24.8261,-31.7547,2.5089,0.2885,0.1739,0.2300,0.0089,1.3906,0.0000,1.3906,0.0000,1.3798,-0.0007,1.3798,0.0006,0.0108,0.7763,
15,20240207-MicroHoles_study,11493,-25.0000,-30.6803,2.5000,-24.8259,-30.4590,2.5112,0.2818,0.1741,0.2213,0.0112,,,,,,,,,,,
16,20240207-MicroHoles_study,11502,-25.0000,-29.2026,2.5000,-24.8253,-28.9911,2.5117,0.2745,0.1747,0.2114,0.0117,1.4777,0.0000,1.4777,0.0000,1.4679,0.0007,1.4679,0.0005,0.0099,0.6668,
17,20240207-MicroHoles_study,11496,-25.0000,-27.8121,2.5000,-24.8252,-27.6118,2.5117,0.2661,0.1748,0.2004,0.0117,,,,,,,,,,,
18,20240207-MicroHoles_study,11499,-25.0000,-26.4252,2.5000,-24.8253,-26.2341,2.5124,0.2592,0.1747,0.1911,0.0124,1.3869,0.0000,1.3869,0.0000,1.3776,-0.0001,1.3776,0.0007,0.0092,0.6649,
19,20240207-MicroHoles_study,11436,-25.0000,-25.0384,2.5000,-24.8246,-24.8569,2.5122,0.2527,0.1754,0.1815,0.0122,,,,,,,,,,,
20,20240207-MicroHoles_study,11487,-25.0000,-23.6516,2.5000,-24.8238,-23.4799,2.5110,0.2463,0.1762,0.1717,0.0110,1.3868,0.0000,1.3868,0.0000,1.3770,0.0007,1.3770,-0.0011,0.0098,0.7079,
21,20240207-MicroHoles_study,11484,-25.0000,-22.2634,2.5000,-24.8238,-22.1042,2.5113,0.2378,0.1762,0.1592,0.0113,,,,,,,,,,,
