Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),691,-25.0000,-50.0000,0.0000,-24.8376,-49.6457,0.0077,0.3898,0.1624,0.3543,0.0077,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),11554,-23.6027,-50.0000,0.0000,-23.4486,-49.6434,0.0070,0.3886,0.1542,0.3566,0.0070,1.3973,1.3973,0.0000,0.0000,1.3890,1.3890,0.0023,-0.0007,0.0083,0.5921,
3,20240207-MicroHoles_study_1 (0.264) (320),11551,-22.2088,-50.0000,0.0000,-22.0625,-49.6399,0.0060,0.3887,0.1463,0.3601,0.0060,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),11557,-20.8149,-50.0000,0.0000,-20.6783,-49.6363,0.0060,0.3885,0.1365,0.3637,0.0060,1.3939,1.3939,0.0000,0.0000,1.3842,1.3842,0.0036,0.0001,0.0097,0.6973,
5,20240207-MicroHoles_study_1 (0.264) (320),11548,-19.4203,-50.0000,0.0000,-19.2959,-49.6326,0.0056,0.3879,0.1244,0.3674,0.0056,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),11563,-18.0260,-50.0000,0.0000,-17.9135,-49.6332,0.0046,0.3837,0.1124,0.3668,0.0046,1.3943,1.3943,0.0000,0.0000,1.3823,1.3823,-0.0005,-0.0010,0.0120,0.8599,
7,20240207-MicroHoles_study_1 (0.264) (320),11560,-16.6316,-50.0000,0.0000,-16.5284,-49.6334,0.0024,0.3809,0.1032,0.3666,0.0024,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),11566,-15.2451,-50.0000,0.0000,-15.1513,-49.6335,0.0027,0.3783,0.0938,0.3665,0.0027,1.3866,1.3866,0.0000,0.0000,1.3772,1.3772,-0.0001,0.0004,0.0094,0.6780,
9,20240207-MicroHoles_study_1 (0.264) (320),11569,-13.8560,-50.0000,0.0000,-13.7739,-49.6324,0.0014,0.3766,0.0821,0.3676,0.0014,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),11545,-12.4667,-50.0000,0.0000,-12.3962,-49.6348,-0.0002,0.3720,0.0705,0.3652,-0.0002,1.3893,1.3893,0.0000,0.0000,1.3777,1.3777,-0.0023,-0.0015,0.0116,0.8333,
11,20240207-MicroHoles_study_1 (0.264) (320),11578,-11.0773,-50.0000,0.0000,-11.0162,-49.6362,-0.0025,0.3689,0.0611,0.3638,-0.0025,,,,,,,,,,,
