Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),689,-25.0000,50.0000,0.0000,-24.8431,49.6423,-0.0492,0.3937,0.1569,-0.3577,-0.0492,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),10996,-23.6175,50.0000,0.0000,-23.4686,49.6425,-0.0490,0.3904,0.1489,-0.3575,-0.0490,1.3825,1.3825,0.0000,0.0000,1.3745,1.3745,0.0002,0.0002,0.0080,0.5801,
3,20240207-MicroHoles_study_1 (0.264) (320),10993,-22.2346,50.0000,0.0000,-22.0922,49.6398,-0.0487,0.3903,0.1423,-0.3602,-0.0487,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),10987,-20.8533,50.0000,0.0000,-20.7195,49.6380,-0.0465,0.3887,0.1338,-0.3620,-0.0465,1.3813,1.3813,0.0000,0.0000,1.3727,1.3727,-0.0018,0.0022,0.0085,0.6162,
5,20240207-MicroHoles_study_1 (0.264) (320),10990,-19.4720,50.0000,0.0000,-19.3475,49.6380,-0.0439,0.3853,0.1245,-0.3620,-0.0439,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),10975,-18.0848,50.0000,0.0000,-17.9704,49.6393,-0.0411,0.3806,0.1144,-0.3607,-0.0411,1.3872,1.3872,0.0000,0.0000,1.3771,1.3771,0.0013,0.0028,0.0102,0.7326,
7,20240207-MicroHoles_study_1 (0.264) (320),10984,-16.6967,50.0000,0.0000,-16.5910,49.6397,-0.0387,0.3775,0.1057,-0.3603,-0.0387,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),10978,-15.3086,50.0000,0.0000,-15.2126,49.6397,-0.0363,0.3746,0.0960,-0.3603,-0.0363,1.3881,1.3881,0.0000,0.0000,1.3784,1.3784,0.0000,0.0024,0.0097,0.6998,
9,20240207-MicroHoles_study_1 (0.264) (320),10981,-13.9232,50.0000,0.0000,-13.8372,49.6402,-0.0345,0.3715,0.0860,-0.3598,-0.0345,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),10948,-12.5379,50.0000,0.0000,-12.4615,49.6419,-0.0319,0.3675,0.0764,-0.3581,-0.0319,1.3854,1.3854,0.0000,0.0000,1.3757,1.3757,0.0017,0.0026,0.0096,0.6943,
11,20240207-MicroHoles_study_1 (0.264) (320),10972,-11.1499,50.0000,0.0000,-11.0835,49.6433,-0.0290,0.3640,0.0664,-0.3567,-0.0290,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (320),10969,-9.7619,50.0000,0.0000,-9.7045,49.6442,-0.0268,0.3614,0.0574,-0.3558,-0.0268,1.3880,1.3880,0.0000,0.0000,1.3790,1.3790,0.0009,0.0022,0.0090,0.6481,
13,20240207-MicroHoles_study_1 (0.264) (320),10963,-8.3753,50.0000,0.0000,-8.3277,49.6441,-0.0247,0.3599,0.0476,-0.3559,-0.0247,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (320),10966,-6.9859,50.0000,0.0000,-6.9479,49.6445,-0.0226,0.3582,0.0380,-0.3555,-0.0226,1.3895,1.3895,0.0000,0.0000,1.3798,1.3798,0.0004,0.0021,0.0096,0.6934,
15,20240207-MicroHoles_study_1 (0.264) (320),10951,-5.5952,50.0000,0.0000,-5.5671,49.6444,-0.0198,0.3572,0.0282,-0.3556,-0.0198,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (320),10960,-4.2026,50.0000,0.0000,-4.1837,49.6442,-0.0167,0.3567,0.0189,-0.3558,-0.0167,1.3926,1.3926,0.0000,0.0000,1.3834,1.3834,-0.0002,0.0031,0.0092,0.6633,
17,20240207-MicroHoles_study_1 (0.264) (320),10954,-2.8121,50.0000,0.0000,-2.8055,49.6425,-0.0149,0.3579,0.0066,-0.3575,-0.0149,,,,,,,,,,,
18,20240207-MicroHoles_study_1 (0.264) (320),10957,-1.4252,50.0000,0.0000,-1.4297,49.6443,-0.0130,0.3560,-0.0045,-0.3557,-0.0130,1.3869,1.3869,0.0000,0.0000,1.3758,1.3758,0.0018,0.0019,0.0111,0.8017,
19,20240207-MicroHoles_study_1 (0.264) (320),10894,-0.0383,50.0000,0.0000,-0.0525,49.6454,-0.0130,0.3551,-0.0142,-0.3546,-0.0130,,,,,,,,,,,
20,20240207-MicroHoles_study_1 (0.264) (320),10945,1.3491,50.0000,0.0000,1.3259,49.6472,-0.0094,0.3536,-0.0232,-0.3528,-0.0094,1.3874,1.3874,0.0000,0.0000,1.3785,1.3785,0.0018,0.0037,0.0089,0.6448,
21,20240207-MicroHoles_study_1 (0.264) (320),10942,2.7366,50.0000,0.0000,2.7020,49.6471,-0.0078,0.3546,-0.0346,-0.3529,-0.0078,,,,,,,,,,,
22,20240207-MicroHoles_study_1 (0.264) (320),10936,4.1247,50.0000,0.0000,4.0789,49.6500,-0.0068,0.3531,-0.0458,-0.3500,-0.0068,1.3881,1.3881,0.0000,0.0000,1.3769,1.3769,0.0028,0.0009,0.0112,0.8091,
23,20240207-MicroHoles_study_1 (0.264) (320),10939,5.5141,50.0000,0.0000,5.4588,49.6544,-0.0058,0.3501,-0.0553,-0.3456,-0.0058,,,,,,,,,,,
24,20240207-MicroHoles_study_1 (0.264) (320),10924,6.9048,50.0000,0.0000,6.8420,49.6578,-0.0049,0.3480,-0.0628,-0.3422,-0.0049,1.3907,1.3907,0.0000,0.0000,1.3832,1.3832,0.0034,0.0009,0.0075,0.5396,
25,20240207-MicroHoles_study_1 (0.264) (320),10933,8.2957,50.0000,0.0000,8.2235,49.6596,-0.0034,0.3480,-0.0722,-0.3404,-0.0034,,,,,,,,,,,
26,20240207-MicroHoles_study_1 (0.264) (320),10927,9.6865,50.0000,0.0000,9.6056,49.6616,-0.0019,0.3479,-0.0809,-0.3384,-0.0019,1.3909,1.3909,0.0000,0.0000,1.3821,1.3821,0.0020,0.0015,0.0087,0.6289,
