Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),687,25.0000,50.0000,2.5000,24.8231,49.6799,2.5034,0.3658,-0.1769,-0.3201,0.0034,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),10886,25.0000,48.6173,2.5000,24.8218,48.3056,2.5045,0.3591,-0.1782,-0.3117,0.0045,1.3827,0.0000,-1.3827,0.0000,1.3743,-0.0012,-1.3743,0.0011,0.0084,0.6086,
3,20240207-MicroHoles_study_1 (0.264) (320),10883,25.0000,47.2346,2.5000,24.8208,46.9305,2.5051,0.3530,-0.1792,-0.3041,0.0051,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),10877,25.0000,45.8547,2.5000,24.8200,45.5592,2.5042,0.3460,-0.1800,-0.2954,0.0042,1.3799,0.0000,-1.3799,0.0000,1.3712,-0.0008,-1.3712,-0.0009,0.0087,0.6274,
5,20240207-MicroHoles_study_1 (0.264) (320),10880,25.0000,44.4693,2.5000,24.8196,44.1840,2.5044,0.3375,-0.1804,-0.2852,0.0044,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),10865,25.0000,43.0838,2.5000,24.8213,42.8083,2.5051,0.3284,-0.1787,-0.2755,0.0051,1.3854,0.0000,-1.3854,0.0000,1.3757,0.0017,-1.3757,0.0007,0.0097,0.7035,
7,20240207-MicroHoles_study_1 (0.264) (320),10874,25.0000,41.6962,2.5000,24.8217,41.4292,2.5070,0.3212,-0.1783,-0.2670,0.0070,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),10868,25.0000,40.3094,2.5000,24.8216,40.0510,2.5063,0.3141,-0.1784,-0.2584,0.0063,1.3868,0.0000,-1.3868,0.0000,1.3782,-0.0001,-1.3782,-0.0007,0.0086,0.6231,
9,20240207-MicroHoles_study_1 (0.264) (320),10871,25.0000,38.9230,2.5000,24.8223,38.6747,2.5068,0.3054,-0.1777,-0.2483,0.0068,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),10838,25.0000,37.5366,2.5000,24.8248,37.2973,2.5072,0.2966,-0.1752,-0.2392,0.0072,1.3864,0.0000,-1.3864,0.0000,1.3774,0.0025,-1.3774,0.0004,0.0090,0.6507,
11,20240207-MicroHoles_study_1 (0.264) (320),10862,25.0000,36.1492,2.5000,24.8258,35.9184,2.5094,0.2894,-0.1742,-0.2308,0.0094,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (320),10859,25.0000,34.7619,2.5000,24.8268,34.5399,2.5083,0.2817,-0.1732,-0.2220,0.0083,1.3873,0.0000,-1.3873,0.0000,1.3785,0.0011,-1.3785,-0.0011,0.0089,0.6384,
13,20240207-MicroHoles_study_1 (0.264) (320),10853,25.0000,33.3730,2.5000,24.8282,33.1606,2.5086,0.2733,-0.1718,-0.2124,0.0086,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (320),10856,25.0000,31.9833,2.5000,24.8298,31.7797,2.5112,0.2656,-0.1702,-0.2036,0.0112,1.3897,0.0000,-1.3897,0.0000,1.3809,0.0016,-1.3809,0.0026,0.0088,0.6351,
15,20240207-MicroHoles_study_1 (0.264) (320),10841,25.0000,30.5936,2.5000,24.8312,30.3982,2.5114,0.2584,-0.1688,-0.1954,0.0114,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (320),10850,25.0000,29.2032,2.5000,24.8324,29.0170,2.5116,0.2507,-0.1676,-0.1861,0.0116,1.3904,0.0000,-1.3904,0.0000,1.3812,0.0012,-1.3812,0.0002,0.0092,0.6639,
17,20240207-MicroHoles_study_1 (0.264) (320),10844,25.0000,27.8141,2.5000,24.8336,27.6371,2.5121,0.2432,-0.1664,-0.1770,0.0121,,,,,,,,,,,
18,20240207-MicroHoles_study_1 (0.264) (320),10847,25.0000,26.4250,2.5000,24.8346,26.2560,2.5123,0.2368,-0.1654,-0.1690,0.0123,1.3891,0.0000,-1.3891,0.0000,1.3812,0.0009,-1.3812,0.0002,0.0079,0.5703,
19,20240207-MicroHoles_study_1 (0.264) (320),10784,25.0000,25.0374,2.5000,24.8349,24.8772,2.5098,0.2303,-0.1651,-0.1603,0.0098,,,,,,,,,,,
20,20240207-MicroHoles_study_1 (0.264) (320),10835,25.0000,23.6499,2.5000,24.8350,23.4988,2.5101,0.2240,-0.1650,-0.1511,0.0101,1.3876,0.0000,-1.3876,0.0000,1.3784,0.0001,-1.3784,0.0003,0.0092,0.6624,
21,20240207-MicroHoles_study_1 (0.264) (320),10832,25.0000,22.2626,2.5000,24.8364,22.1208,2.5098,0.2167,-0.1636,-0.1418,0.0098,,,,,,,,,,,
22,20240207-MicroHoles_study_1 (0.264) (320),10826,25.0000,20.8753,2.5000,24.8376,20.7421,2.5114,0.2104,-0.1624,-0.1332,0.0114,1.3873,0.0000,-1.3873,0.0000,1.3786,0.0012,-1.3786,0.0016,0.0086,0.6217,
23,20240207-MicroHoles_study_1 (0.264) (320),10829,25.0000,19.4845,2.5000,24.8386,19.3598,2.5092,0.2041,-0.1614,-0.1247,0.0092,,,,,,,,,,,
24,20240207-MicroHoles_study_1 (0.264) (320),10814,25.0000,18.0937,2.5000,24.8397,17.9778,2.5093,0.1980,-0.1603,-0.1159,0.0093,1.3908,0.0000,-1.3908,0.0000,1.3820,0.0010,-1.3820,0.0001,0.0088,0.6338,
25,20240207-MicroHoles_study_1 (0.264) (320),10823,25.0000,16.7026,2.5000,24.8396,16.5951,2.5114,0.1934,-0.1604,-0.1074,0.0114,,,,,,,,,,,
26,20240207-MicroHoles_study_1 (0.264) (320),10817,25.0000,15.3121,2.5000,24.8403,15.2137,2.5111,0.1879,-0.1597,-0.0984,0.0111,1.3904,0.0000,-1.3904,0.0000,1.3814,0.0007,-1.3814,-0.0003,0.0090,0.6487,
27,20240207-MicroHoles_study_1 (0.264) (320),10820,25.0000,13.9250,2.5000,24.8413,13.8346,2.5091,0.1829,-0.1587,-0.0904,0.0091,,,,,,,,,,,
